DR Number,Date Reported,Date Occurred,Time Occurred,Reporting District,Address,Cross Street,Location,MO Codes
191519215,10/17/2019,10/17/2019,1520,1526,LANKERSHIM BL,ERWIN ST,"(34.1831, -118.3856)",3003 3026 3029 3037 3101 3401 3701 4015
191518670,10/5/2019,10/4/2019,1507,1526,ERWIN ST,LANKERSHIM BL,"(34.1831, -118.3878)",4015 3008 3025 3029 3037 3101 3401 3701
191515782,8/17/2019,8/17/2019,1529,1505,TROOST AV,SHERMAN WY,"(34.2012, -118.3866)",3034 3006 3037 3028 3602 3101 3401 3701 4026
191515783,8/17/2019,8/17/2019,1530,1505,TROOST AV,SHERMAN WY,"(34.2012, -118.3866)",3034 3006 3037 3026 3101 3401 3701 4026
191520926,11/21/2019,11/21/2019,1515,1546,RIVERSIDE DR,BECK AV,"(34.1577, -118.3834)",3003 3025 3036 3101 4026
191517096,9/9/2019,9/9/2019,1530,1525,RADFORD AV,GILMORE ST,"(34.1875, -118.3921)",3003 3037 3026 3101 3401 3701 4026
191519466,10/24/2019,10/21/2019,740,1506,SATICOY ST,ELMER AV,"(34.2085, -118.3769)",3003 3025 3029 3036 3101 3401 3701 4015
191521801,12/11/2019,10/21/2019,740,1506,SATICOY ST,ELMER AV,"(34.2085, -118.3769)",3003 3036 3029 3025 3101 3401 3701 4015
191520053,11/4/2019,11/4/2019,655,1504,LANKERSHIM BL,RUNNYMEDE ST,"(34.2058, -118.3878)",4026 3008 3025 3035 3036 3101 3401 3701 3033
191521912,12/13/2019,12/13/2019,745,1549,CAHUENGA BL,CHANDLER BL,"(34.1687, -118.3615)",3003 3025 3029 3036 3101 4015
191508576,3/29/2019,3/28/2019,1610,1524,LAUREL CANYON BL,KITTRIDGE ST,"(34.1903, -118.3965)",3036 3003 3025 3101 3401 3701 4015
191520559,11/13/2019,11/13/2019,815,1506,VALERIO ST,VINELAND AV,"(34.2048, -118.3703)",3003 3036 3029 3026 3101 3401 3701 4026
191512455,6/13/2019,6/12/2019,1925,1545,RIVERSIDE DR,COLFAX AV,"(34.1577, -118.3877)",3004 3036 3026 3101 3701 4026
191518277,10/1/2019,9/26/2019,740,1522,VICTORY BL,COLDWATER CANYON AV,"(34.1867, -118.4137)",3008 3025 3036 3101 3401 3701 4015
191514310,7/19/2019,7/19/2019,1410,1522,VICTORY BL,COLDWATER CANYON AV,"(34.1867, -118.4137)",3008 3037 3025 3101 3401 3701 4026
191522421,12/18/2019,12/18/2019,705,1504,SIMPSON AV,COHASSET ST,"(34.2067, -118.3891)",3032 3037 3025 3102 4015 3003
191513828,7/10/2019,7/9/2019,1645,1523,COLDWATER CANYON AV,VICTORY BL,"(34.1867, -118.4137)",3004 3036 3026 3101 3401 3701 4009
191517222,9/11/2019,9/3/2019,730,1512,BELLAIRE AV,BARBARA ANN,"(34.2003, -118.4094)",3003 3025 3036 3101 3401 3701 4015
191519600,10/27/2019,10/27/2019,945,1581,COLDWATER CA AV,WOODBRIDGE ST,"(34.1478, -118.4071)",605
191516059,8/22/2019,8/22/2019,1530,1527,KITTRIDGE ST,VINELAND AV,"(34.1903, -118.3703)",3003 3025 3029 3036 3101 3401 3701 4026
191513872,7/11/2019,7/10/2019,2255,1581,MOORPARK ST,LAUREL CANYON BL,"(34.1504, -118.3965)",3036 3004 3025 3101 3401 3701 4026
191520609,11/14/2019,11/14/2019,935,1566,VINELAND AV,RIVERSIDE DR,"(34.1524, -118.3703)",3004 3037 3030 3028 3101 3401 3701 4026
181516625,8/22/2018,8/21/2018,1200,1517,ELMER AV,VANOWEN ST,"(34.194, -118.3768)",3006 3037 3030 3028 3101 3401 3701 4015
191518653,10/9/2019,10/3/2019,1315,1535,LANKERSHIM BL,CALIFA ST,"(34.1776, -118.3823)",4015 3004 3028 3030 3037 3101 3401 3701
191513916,7/11/2019,7/11/2019,1355,1505,SHERMAN WY,KRAFT AV,"(34.2012, -118.3801)",3004 3037 3032 3025 3102 3401 3701 4026
191512378,6/12/2019,6/6/2019,1515,1544,HUSTON ST,LAUREL CANYON BL,"(34.1594, -118.3965)",3004 3028 3030 3034 3036 3101 3401 3701 4015
191512885,6/20/2019,6/20/2019,1815,1591,VENTURA BL,LAUREL CANYON BL,"(34.1436, -118.3953)",3004 3037 3030 3028 3101 3401 3701 4015
191517639,9/18/2019,9/18/2019,1925,1557,HESBY ST,VINELAND AV,"(34.1618, -118.3704)",3004 3030 3028 3037 3101 3701 4015
181512262,6/4/2018,6/3/2018,2045,1599,MULHOLLAND DR,SUNNY CT,"(34.1284, -118.3568)",3011 3034 3037 3103 3401 3701 4026
191515731,8/16/2019,8/15/2019,2050,1591,LAUREL CANYON BL,SUNSHINE TR,"(34.1387, -118.3934)",3004 3036 3026 3101 3401 3701 4026
191519831,10/30/2019,10/30/2019,45,1595,11500 VENTURA BL,,"(34.1397, -118.3817)",0605 3006 3036 3030 3028 3101 3401 3701 4015
191513030,6/24/2019,6/23/2019,100,1557,CAHUENGA BL,CAMARILLO ST,"(34.1577, -118.3615)",3006 3026 3037 3101 3401 3701 4015
191509868,4/23/2019,4/22/2019,130,1503,COHASSET ST,SHADYGLADE AV,"(34.2067, -118.4025)",3006 3037 3026 3101 3401 3701 4015
191515523,8/11/2019,8/11/2019,150,1514,RADFORD AV,DEHOUGNE ST,"(34.1959, -118.3921)",3006 3028 3030 3101 3401 3701 4015 3037
191522406,12/21/2019,12/21/2019,200,1513,WHITSETT AV,VANOWEN ST,"(34.194, -118.4052)",3030 3028 3101 4015 3006 3037
191510100,4/26/2019,4/26/2019,200,1504,RUNNYMEDE ST,RADFORD AV,"(34.2058, -118.3921)",3006 3037 3030 3028 3101 3401 3701 4015
191515158,8/4/2019,8/3/2019,245,1529,OXNARD ST,WILLOWCREST AV,"(34.1794, -118.3627)",3006 3037 3030 3034 3028 3101 3401 3701 4015
191518654,10/9/2019,10/8/2019,400,1563,COLFAX AV,CHIQUITA ST,"(34.1512, -118.3864)",3006 3037 3030 3028 3101 3401 3701 4015
191520262,11/3/2019,11/3/2019,520,1503,ARCHWOOD ST,BELLINGHAM AV,"(34.1922, -118.3987)",3006 3037 3030 3028 3101 3401 3701 4015
191519054,10/16/2019,10/11/2019,827,1513,BEEMAN AV,ARCHWOOD ST,"(34.1922, -118.4072)",3006 3028 3030 3037 3101 3401 3701 4015
191516943,9/5/2019,9/2/2019,855,1591,VENTURA BL,WHITSETT AV,"(34.1427, -118.4052)",0605 4015 3006 3030 3028 3037 3033 3035 3101 3401
191512758,6/19/2019,6/18/2019,1022,1519,6600 SATSUMA AV,,"(34.1904, -118.367)",3006 3037 3028 3039 3101 3401 3701 4015
191520159,11/6/2019,11/6/2019,1050,1523,VICTORY BL,WHITSETT AV,"(34.1867, -118.4052)",3004 3036 3025 3101 4026
191518622,10/9/2019,10/7/2019,1305,1548,5300 LANKERSHIM BL,,"(34.167, -118.3759)",1300 0605 1501
191518274,10/1/2019,9/23/2019,1640,1527,VICTORY BL,BAKMAN AV,"(34.1867, -118.3779)",3004 3024 3036 3101 3401 3701 4015
191522741,12/31/2019,12/19/2019,1700,1585,VENTURA BL,FRUITLAND DR,"(34.1419, -118.3741)",3006 3028 3030 3037 3032 3101 4015
191520772,11/17/2019,11/17/2019,1700,1548,MAGNOLIA BL,CAHUENGA BL,"(34.1649, -118.3615)",1300 0605 3003 3037 3029 3026 3101 3401 3701 4015
191519832,10/29/2019,10/29/2019,1715,1522,COLDWATER CANYON AV,VICTORY BL,"(34.1867, -118.4137)",3037 3004 3030 3028 3101 3701 4015
191522439,12/23/2019,12/23/2019,1740,1569,TOLUCA LAKE AV,FORMAN AV,"(34.1493, -118.3527)",3006 3037 3028 3030 3103 4026
191521755,12/11/2019,12/10/2019,1740,1525,VICTORY BL,CARPENTER,"(34.1867, -118.391)",3004 3037 3029 3026 3101 3401 3701 4009 0605
191520929,11/21/2019,11/21/2019,1840,1503,VANOWEN ST,VANTAGE AV,"(34.194, -118.3976)",3004 3037 3030 3028 3101 3401 3701 4026
191511597,5/24/2019,5/22/2019,1855,1526,HAMLIN ST,TROOST AV,"(34.1886, -118.3866)",3037 3006 3030 3028 3101 3401 4015
191516234,8/26/2019,8/24/2019,1940,1521,GAULT ST,ETHEL AV,"(34.1994, -118.4181)",3006 3028 3030 3037 3101 3401 3701 4015
191505943,2/6/2019,2/5/2019,2258,1513,WHITSETT AV,VOSE ST,"(34.1985, -118.4052)",3006 3030 3028 3037 3101 3401 3701 4015
191518380,10/3/2019,10/3/2019,10,1513,WHITSETT AV,VANOWEN ST,"(34.194, -118.4052)",3006 3037 3602 3026 3101 3401 3701 4015 3039
191522277,12/20/2019,12/20/2019,15,1512,VANOWEN ST,GOODLAND AV,"(34.194, -118.4119)",3037 3006 3028 3101 4015
191511424,5/24/2019,5/24/2019,20,1523,BELLAIRE AV,CHARLESWORTH AV,"(34.1872, -118.4094)",3006 3037 3030 3028 3101 3401 3701 4026
191513441,7/2/2019,6/30/2019,50,1557,CAMARILLO ST,SATSUMA AV,"(34.1577, -118.367)",3006 3037 3030 3028 3101 3401 3701 4015
191519293,10/21/2019,10/21/2019,105,1583,CARPENTER AV,VENTURA BL,"(34.1427, -118.3908)",4015 3011 3025 3034 3037 3101 3401 3701 3038
191512388,6/12/2019,6/11/2019,110,1539,AUCKLAND AV,BURBANK BL,"(34.1722, -118.3604)",3037 3006 3026 3101 3401 3701 4015
191508614,3/31/2019,3/31/2019,110,1513,WHITSETT AV,VANOWEN ST,"(34.194, -118.4052)",3037 3030 3028 3101 3401 3701 4015 3006
191518703,10/10/2019,10/5/2019,130,1501,SATICOY ST,FULTON AV,"(34.2084, -118.4236)",3011 3037 3034 3026 3101 3401 3701 4015
191512320,6/11/2019,6/11/2019,131,1523,GILMORE ST,BELLAIRE AV,"(34.1876, -118.409)",3006 3036 3030 3028 3101 3401 3701 4026
191520325,11/9/2019,11/9/2019,140,1519,VICTORY BL,CLYBOURN AV,"(34.1867, -118.3637)",0605 3006 3037 3030 3028 3101 3401 3701 4015
191508623,3/31/2019,3/30/2019,145,1532,VICTORY BL,WILKINSON AV,"(34.1867, -118.4041)",3006 3028 3030 3037 3101 3401 3701 4015
191505661,2/2/2019,2/2/2019,155,1547,OTSEGO ST,TUJUNGA AV,"(34.1673, -118.3816)",3006 3030 3028 3036 3101 3401 3701 4015
191520690,11/16/2019,11/16/2019,200,1521,VANOWEN ST,ATOLL AV,"(34.194, -118.421)",3006 3037 3030 3028 3101 3401 3701 4009
191519302,10/21/2019,10/19/2019,205,1583,LAUREL CANYON BL,VALLEY SPRING LN,"(34.1467, -118.3964)",1300 0605 1501
191515295,8/8/2019,8/8/2019,205,1553,RIVERSIDE DR,KRAFT AV,"(34.1577, -118.3801)",3011 3037 3034 3025 3101 3401 3701 4015
191517767,9/23/2019,9/22/2019,210,1529,CAHUENGA BL,ERWIN ST,"(34.1831, -118.3615)",3006 3037 3030 3028 3101 3401 3701 4015
191522747,12/31/2019,12/29/2019,215,1505,TUJUNGA AV,RUNNYMEDE ST,"(34.2057, -118.379)",3006 3037 3030 3028 3104 4015
191507257,3/3/2019,3/2/2019,230,1527,MAGNOLIA BL,HOLLYWOOD FY,"(34.1849, -118.3746)",3025 3037 3004 3029 3101 3401 3701 4015
191517866,9/24/2019,9/17/2019,235,1531,CALIFA ST,BELLAIRE AV,"(34.1776, -118.4094)",3006 3030 3028 3037 3101 3401 3701 4015
191517993,9/24/2019,9/24/2019,245,1525,LANKERSHIM BL,VICTORY BL,"(34.1867, -118.3877)",3034 3011 3037 3030 3028 3101 3401 3701 4015
191520266,10/28/2019,10/28/2019,250,1531,BURBANK BL,BELLAIRE AV,"(34.1722, -118.4094)",3006 3037 3030 3028 3101 3401 3701 4015
191517009,9/8/2019,9/8/2019,325,1525,OXNARD ST,CARPENTER AV,"(34.1794, -118.391)",3006 3026 3037 3101 3401 3701 4015
